threshold,precision,recall,f1,tp,fp,tn,fn,cost
0.7100000000000001,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.72,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.73,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.74,0.9552238805970149,0.810126582278481,0.8767123287671232,64,3,45487,15,75050
0.75,0.9545454545454546,0.7974683544303798,0.8689655172413794,63,3,45487,16,80050
0.76,0.9545454545454546,0.7974683544303798,0.8689655172413794,63,3,45487,16,80050
0.77,0.9545454545454546,0.7974683544303798,0.8689655172413794,63,3,45487,16,80050
0.78,0.9538461538461539,0.7848101265822784,0.8611111111111112,62,3,45487,17,85050
0.79,0.9538461538461539,0.7848101265822784,0.8611111111111112,62,3,45487,17,85050
0.8,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.81,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.8200000000000001,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.8300000000000001,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.8400000000000001,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.85,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.86,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.87,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.88,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.89,0.953125,0.7721518987341772,0.8531468531468531,61,3,45487,18,90050
0.9,0.9523809523809523,0.759493670886076,0.8450704225352113,60,3,45487,19,95050
0.91,0.9516129032258065,0.7468354430379747,0.8368794326241135,59,3,45487,20,100050
0.92,0.9672131147540983,0.7468354430379747,0.8428571428571427,59,2,45488,20,100050
0.93,0.9672131147540983,0.7468354430379747,0.8428571428571427,59,2,45488,20,100050
0.9400000000000001,0.9672131147540983,0.7468354430379747,0.8428571428571427,59,2,45488,20,100050
0.9500000000000001,0.9830508474576272,0.7341772151898734,0.8405797101449277,58,1,45489,21,105050
0.9600000000000001,0.9824561403508771,0.7088607594936709,0.8235294117647058,56,1,45489,23,115050
0.97,0.9818181818181818,0.6835443037974683,0.8059701492537312,54,1,45489,25,125050
0.98,0.9803921568627451,0.6329113924050633,0.7692307692307693,50,1,45489,29,145050
0.99,0.975609756097561,0.5063291139240507,0.6666666666666667,40,1,45489,39,195050
